season_start_year,season_end_year,species,artist,stamp_link
1934,1935,Mallard,"Jay N ""Ding"" Darling",https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1934-1935.php
1935,1936,Canvasback,Frank W Benson,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1935-1936.php
1936,1937,Canada goose,Richard E Bishop,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1936-1937.php
1937,1938,Greater scaup,Joseph D Knap,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1937-1938.php
1938,1939,Northern pintail,Roland H Clark,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1938-1939.php
1939,1940,Green-winged teal,Lynn B Hunt,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1939-1940.php
1940,1941,Black duck,Francis L Jacques,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1940-1941.php
1941,1942,Ruddy duck,Edwin R Kalmbach,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1941-1942.php
1942,1943,American wigeon,Aiden Lassel Ripley,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1942-1943.php
1943,1944,Wood duck,Walter E Bohl,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1943-1944.php
1944,1945,Greater white-fronted goose,Walter A Weber,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1944-1945.php
1945,1946,Northern shoveler,Owen J Gromme,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1945-1946.php
1946,1947,Redhead,Robert W Hines,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1946-1947.php
1947,1948,Snow goose,Jack Murray,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1947-1948.php
1948,1949,Bufflehead,Maynard Reece,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1948-1949.php
1949,1950,Common goldeneye,Roger E Preuss,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1949-1950.php
1950,1951,Trumpeter swan,Walter A Weber,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1950-1951.php
1951,1952,Gadwall,Maynard Reece,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1951-1952.php
1952,1953,Harlequin,John H Dick,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1952-1953.php
1953,1954,Blue-winged teal,Clayton B Seagears,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1953-1954.php
1954,1955,Ring-necked duck,Harvey D Sandstrom,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1954-1955.php
1955,1956,Blue goose,Stanley Stearns,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1955-1956.php
1956,1957,Common merganser,Edward J Bierly,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1956-1957.php
1957,1958,Common eider,Jackson Miles Abbott,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1957-1958.php
1958,1959,Canada goose,Leslie C Kouba,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1958-1959.php
1959,1960,Mallard,Maynard Reece,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1959-1960.php
1960,1961,Redhead,John A Ruthven,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1960-1961.php
1961,1962,Mallard,Edward A Morris,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1961-1962.php
1962,1963,Northern pintail,Edward A Morris,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1962-1963.php
1963,1964,Atlantic brant,Edward J Bierly,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1963-1964.php
1964,1965,Nene goose,Stanley Stearns,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1964-1965.php
1965,1966,Canvasback,Ron Jenkins,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1965-1966.php
